ticker,strategy,regime,trades,win_rate,total_pnl,avg_pnl,pf,max_dd,avg_holding,score
A,S1,bear_high_vol,11,36.36,-7.16,-0.651,0.726,13.63,6.2,2.409
A,S1,bear_mid_vol,1,0.0,-4.52,-4.52,0.0,4.52,8.0,0.0
A,S1,bull_low_vol,43,48.84,33.6,0.781,1.623,21.43,10.2,10.644
A,S1,neutral_low_vol,3,66.67,8.11,2.703,7.702,1.21,11.0,13.341
A,S1,neutral_mid_vol,2,100.0,16.59,8.295,inf,0.0,11.0,inf
A,S1,bull_mid_vol,16,31.25,16.32,1.02,1.763,13.71,10.9,7.05
A,S1,bull_high_vol,8,87.5,12.81,1.601,13.085,1.06,12.4,37.01
A,S1,neutral_high_vol,3,33.33,-0.79,-0.263,0.524,1.37,8.7,0.908
A,S2,bear_high_vol,17,52.94,34.89,2.052,2.678,12.13,5.5,11.043
A,S2,bull_low_vol,42,69.05,22.26,0.53,1.326,31.82,5.3,8.594
A,S2,neutral_high_vol,13,69.23,30.4,2.338,3.082,12.21,4.5,11.113
A,S2,bear_mid_vol,3,66.67,7.47,2.49,2.453,5.14,6.0,4.249
A,S2,bear_low_vol,1,0.0,-0.27,-0.27,0.0,0.27,1.0,0.0
A,S2,bull_mid_vol,36,58.33,17.42,0.484,1.441,16.7,4.2,8.647
A,S2,neutral_mid_vol,5,20.0,-7.84,-1.568,0.442,13.34,6.2,0.989
A,S2,bull_high_vol,7,71.43,9.58,1.369,3.192,2.99,4.4,8.446
AA,S1,bear_high_vol,4,0.0,-15.71,-3.928,0.0,14.92,3.0,0.0
AA,S1,bear_mid_vol,4,0.0,-31.43,-7.858,0.0,27.98,4.2,0.0
AA,S1,bull_low_vol,38,31.58,12.72,0.335,1.153,30.43,8.5,7.108
AA,S1,neutral_mid_vol,4,25.0,-11.17,-2.792,0.3,11.09,4.5,0.6
AA,S1,neutral_low_vol,4,0.0,-10.61,-2.653,0.0,10.24,5.2,0.0
AA,S1,bull_mid_vol,13,61.54,37.01,2.847,2.981,17.61,7.9,10.749
AA,S1,bull_high_vol,12,25.0,19.54,1.628,1.485,15.93,7.9,5.145
AA,S1,neutral_high_vol,6,16.67,-33.23,-5.538,0.089,29.57,4.7,0.217
AA,S2,bear_high_vol,15,53.33,3.79,0.253,1.085,29.5,10.2,4.202
AA,S2,neutral_low_vol,2,50.0,6.59,3.295,2.393,4.73,3.0,3.385
AA,S2,bull_low_vol,55,56.36,-6.63,-0.121,0.953,41.36,7.3,7.068
AA,S2,neutral_mid_vol,6,50.0,5.9,0.983,1.376,15.05,4.3,3.369
AA,S2,neutral_high_vol,8,50.0,-8.88,-1.11,0.659,23.96,7.2,1.864
AA,S2,bear_mid_vol,3,100.0,29.47,9.823,inf,0.0,5.7,inf
